competitor,chroma_subsampling,quality,criterion,images,jpegli_better,competitor_better,tied_or_mixed
turbojpeg,422,55,ssimulacra2,30,9,21,0
turbojpeg,422,55,butteraugli,30,15,15,0
turbojpeg,422,55,cvvdp_jod,30,2,28,0
turbojpeg,422,55,dists,30,2,28,0
turbojpeg,422,55,all_four,30,0,11,19
turbojpeg,422,60,ssimulacra2,30,5,25,0
turbojpeg,422,60,butteraugli,30,18,12,0
turbojpeg,422,60,cvvdp_jod,30,0,30,0
turbojpeg,422,60,dists,30,1,29,0
turbojpeg,422,60,all_four,30,0,11,19
turbojpeg,422,65,ssimulacra2,30,6,24,0
turbojpeg,422,65,butteraugli,30,17,13,0
turbojpeg,422,65,cvvdp_jod,30,2,28,0
turbojpeg,422,65,dists,30,1,29,0
turbojpeg,422,65,all_four,30,0,8,22
turbojpeg,422,70,ssimulacra2,30,22,8,0
turbojpeg,422,70,butteraugli,30,13,17,0
turbojpeg,422,70,cvvdp_jod,30,5,25,0
turbojpeg,422,70,dists,30,3,27,0
turbojpeg,422,70,all_four,30,1,6,23
turbojpeg,422,75,ssimulacra2,30,23,7,0
turbojpeg,422,75,butteraugli,30,12,18,0
turbojpeg,422,75,cvvdp_jod,30,8,22,0
turbojpeg,422,75,dists,30,3,27,0
turbojpeg,422,75,all_four,30,0,6,24
turbojpeg,422,80,ssimulacra2,30,25,5,0
turbojpeg,422,80,butteraugli,30,10,20,0
turbojpeg,422,80,cvvdp_jod,30,15,15,0
turbojpeg,422,80,dists,30,1,29,0
turbojpeg,422,80,all_four,30,0,4,26
turbojpeg,422,85,ssimulacra2,30,27,3,0
turbojpeg,422,85,butteraugli,30,15,15,0
turbojpeg,422,85,cvvdp_jod,30,22,8,0
turbojpeg,422,85,dists,30,3,27,0
turbojpeg,422,85,all_four,30,0,1,29
turbojpeg,422,90,ssimulacra2,30,29,1,0
turbojpeg,422,90,butteraugli,30,18,12,0
turbojpeg,422,90,cvvdp_jod,30,25,5,0
turbojpeg,422,90,dists,30,2,28,0
turbojpeg,422,90,all_four,30,2,1,27
turbojpeg,422,95,ssimulacra2,30,29,1,0
turbojpeg,422,95,butteraugli,30,16,14,0
turbojpeg,422,95,cvvdp_jod,30,29,1,0
turbojpeg,422,95,dists,30,4,26,0
turbojpeg,422,95,all_four,30,1,0,29
turbojpeg,422,100,ssimulacra2,30,30,0,0
turbojpeg,422,100,butteraugli,30,21,9,0
turbojpeg,422,100,cvvdp_jod,30,27,2,1
turbojpeg,422,100,dists,30,17,13,0
turbojpeg,422,100,all_four,30,13,0,17
turbojpeg,420,25,ssimulacra2,30,5,25,0
turbojpeg,420,25,butteraugli,30,7,23,0
turbojpeg,420,25,cvvdp_jod,30,2,28,0
turbojpeg,420,25,dists,30,0,30,0
turbojpeg,420,25,all_four,30,0,18,12
turbojpeg,420,30,ssimulacra2,30,3,27,0
turbojpeg,420,30,butteraugli,30,10,20,0
turbojpeg,420,30,cvvdp_jod,30,1,29,0
turbojpeg,420,30,dists,30,0,30,0
turbojpeg,420,30,all_four,30,0,17,13
turbojpeg,420,35,ssimulacra2,30,3,27,0
turbojpeg,420,35,butteraugli,30,10,20,0
turbojpeg,420,35,cvvdp_jod,30,0,30,0
turbojpeg,420,35,dists,30,0,30,0
turbojpeg,420,35,all_four,30,0,17,13
turbojpeg,420,40,ssimulacra2,30,7,23,0
turbojpeg,420,40,butteraugli,30,9,21,0
turbojpeg,420,40,cvvdp_jod,30,1,29,0
turbojpeg,420,40,dists,30,1,29,0
turbojpeg,420,40,all_four,30,0,16,14
turbojpeg,420,45,ssimulacra2,30,7,23,0
turbojpeg,420,45,butteraugli,30,13,17,0
turbojpeg,420,45,cvvdp_jod,30,2,28,0
turbojpeg,420,45,dists,30,0,30,0
turbojpeg,420,45,all_four,30,0,11,19
turbojpeg,420,50,ssimulacra2,30,7,23,0
turbojpeg,420,50,butteraugli,30,14,16,0
turbojpeg,420,50,cvvdp_jod,30,1,29,0
turbojpeg,420,50,dists,30,0,30,0
turbojpeg,420,50,all_four,30,0,14,16
turbojpeg,420,55,ssimulacra2,30,11,19,0
turbojpeg,420,55,butteraugli,30,15,15,0
turbojpeg,420,55,cvvdp_jod,30,3,27,0
turbojpeg,420,55,dists,30,1,29,0
