competitor,chroma_subsampling,quality,metric,images,jpegli_mean_distortion,competitor_mean_distortion,distortion_ratio
turbojpeg,422,30,butteraugli,30,5.454217282833,5.463993350733,1.001792387
turbojpeg,422,30,cvvdp_jod,30,0.363787206000,0.341734472867,0.939380130
turbojpeg,422,30,dists,30,0.118716385100,0.112933943700,0.951291969
turbojpeg,422,35,ssimulacra2,30,44.858878775967,44.234720582067,0.986086184
turbojpeg,422,35,butteraugli,30,5.321993041067,5.321408987000,0.999890257
turbojpeg,422,35,cvvdp_jod,30,0.339073276533,0.319073708767,0.941016974
turbojpeg,422,35,dists,30,0.113884856333,0.108288449067,0.950859074
turbojpeg,422,40,ssimulacra2,30,43.142001890967,42.602073003167,0.987484844
turbojpeg,422,40,butteraugli,30,5.058920494667,5.061014699900,1.000413963
turbojpeg,422,40,cvvdp_jod,30,0.314798482233,0.298417345633,0.947963102
turbojpeg,422,40,dists,30,0.109142919367,0.104265928333,0.955315553
turbojpeg,422,45,ssimulacra2,30,41.015142284533,40.341650251900,0.983579430
turbojpeg,422,45,butteraugli,30,4.895557777000,4.845913132067,0.989859246
turbojpeg,422,45,cvvdp_jod,30,0.287912591267,0.271267954533,0.942188577
turbojpeg,422,45,dists,30,0.103867252667,0.099137469133,0.954463188
turbojpeg,422,50,ssimulacra2,30,39.190741384400,38.575606140333,0.984304067
turbojpeg,422,50,butteraugli,30,4.697849074900,4.668308623633,0.993711920
turbojpeg,422,50,cvvdp_jod,30,0.264159679400,0.248476823167,0.940631151
turbojpeg,422,50,dists,30,0.098938328067,0.094067255700,0.950766579
turbojpeg,422,55,ssimulacra2,30,37.149281298867,36.794595859067,0.990452428
turbojpeg,422,55,butteraugli,30,4.483249115967,4.476197656033,0.998427154
turbojpeg,422,55,cvvdp_jod,30,0.238921483300,0.226542250300,0.948187024
turbojpeg,422,55,dists,30,0.093700708933,0.089032963967,0.950184529
turbojpeg,422,60,ssimulacra2,30,34.729723435300,34.224351605933,0.985448435
turbojpeg,422,60,butteraugli,30,4.207262420600,4.209375278100,1.000502193
turbojpeg,422,60,cvvdp_jod,30,0.211741511067,0.200197283400,0.945479620
turbojpeg,422,60,dists,30,0.087362823933,0.082628051467,0.945803349
turbojpeg,422,65,ssimulacra2,30,32.735587655600,32.433590038167,0.990774639
turbojpeg,422,65,butteraugli,30,3.986184851333,3.991131671300,1.001240991
turbojpeg,422,65,cvvdp_jod,30,0.189647865300,0.180323759700,0.950834640
turbojpeg,422,65,dists,30,0.081685608667,0.077101665767,0.943883103
turbojpeg,422,70,ssimulacra2,30,30.175160760900,30.371394312733,1.006503149
turbojpeg,422,70,butteraugli,30,3.638186740900,3.618682511767,0.994639025
turbojpeg,422,70,cvvdp_jod,30,0.165039698300,0.159563827533,0.966820887
