image,width,height,quality,chroma_subsampling,progressive_level,jpeg_bytes,bits_per_pixel,jpegli_version,turbojpeg_api,decoder,ssimulacra2,butteraugli,decoded_image,cvvdp_jod,dists
1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,1648,2048,25,444,0,96774,0.229383154,51760c09,3002000,jpegli,53.809878429,4.429058552,q025-444-p0/jpegli/1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,9.722960472,0.178586960
1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,1648,2048,25,444,0,96774,0.229383154,51760c09,3002000,turbojpeg,53.713832367,4.394032955,q025-444-p0/turbojpeg/1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,9.735238075,0.167910814
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,apple_imageio,52.077760239,5.162856102,q025-444-p0/apple_imageio/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.714839935,0.095151722
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,jpegli,51.343555196,4.692677975,q025-444-p0/jpegli/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.682258606,0.100529313
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,turbojpeg,52.080903986,5.162856102,q025-444-p0/turbojpeg/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.714751244,0.095223963
2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,1360,2048,25,444,0,182291,0.523583984,51760c09,3002000,apple_imageio,54.338606253,5.556185722,q025-444-p0/apple_imageio/2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,9.666401863,0.098839700
2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,1360,2048,25,444,0,182291,0.523583984,51760c09,3002000,jpegli,54.093390131,6.069833755,q025-444-p0/jpegli/2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,9.634547234,0.105612040
2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,1360,2048,25,444,0,182291,0.523583984,51760c09,3002000,turbojpeg,54.183431670,5.558750153,q025-444-p0/turbojpeg/2684452db505ddbbb53f42a3f3bcfe86fdd0d6d8d98c029db4b4c6fc1f55b750.png,9.666074753,0.099243224
2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,2048,928,25,444,0,41338,0.174004916,51760c09,3002000,apple_imageio,48.822778022,5.724391460,q025-444-p0/apple_imageio/2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,9.515386581,0.100782037
2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,2048,928,25,444,0,41338,0.174004916,51760c09,3002000,jpegli,47.217221048,5.820008278,q025-444-p0/jpegli/2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,9.513361931,0.102177143
2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,2048,928,25,444,0,41338,0.174004916,51760c09,3002000,turbojpeg,48.738980423,5.724380016,q025-444-p0/turbojpeg/2a760bf1ccea6998be3890dcc2371b23f35fe3006562884b45bc534a621d5c12.png,9.514508247,0.100829840
4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,1360,2048,25,444,0,132337,0.380103975,51760c09,3002000,apple_imageio,49.842325212,4.974480629,q025-444-p0/apple_imageio/4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,9.643873215,0.159718871
4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,1360,2048,25,444,0,132337,0.380103975,51760c09,3002000,jpegli,48.555897440,5.418596745,q025-444-p0/jpegli/4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,9.616622925,0.166414142
