quality,chroma_subsampling,decoder,images,bits_per_pixel,ssimulacra2_mean,ssimulacra2_median,ssimulacra2_worst,butteraugli_mean,butteraugli_median,butteraugli_worst,cvvdp_jod_mean,cvvdp_jod_median,cvvdp_jod_worst,dists_mean,dists_median,dists_worst
30,420,turbojpeg,30,0.506207312,53.582410552,53.534534654,43.083091890,5.387399594,5.266240120,7.531774521,9.595702521,9.623427391,9.316226959,0.123959249,0.120524436,0.228356242
30,420,apple_imageio,30,0.506207312,53.043337191,53.082576738,42.581145374,5.387067970,5.247138262,7.274357319,9.594855467,9.623254776,9.315706253,0.123407211,0.119597942,0.228253186
35,420,jpegli,30,0.532942659,54.465172056,54.176257149,43.062470188,5.355860901,5.236644268,7.445459366,9.599494457,9.627191067,9.321372032,0.124843498,0.121391505,0.229028642
35,420,turbojpeg,30,0.532942659,55.371128453,55.199227209,45.111807491,5.274635569,5.058417082,7.591277122,9.629830011,9.655797005,9.369600296,0.118725526,0.114971667,0.224067807
35,420,apple_imageio,30,0.532942659,54.850732957,54.823097135,44.604948287,5.266738876,5.180880308,7.165711403,9.628891023,9.655400276,9.368744850,0.118169522,0.113788426,0.223712146
40,420,jpegli,30,0.558784462,56.622066387,56.229872786,45.354790679,5.283287700,5.125758171,7.840177536,9.629978689,9.657501221,9.378436089,0.119632320,0.117010563,0.223872125
40,420,turbojpeg,30,0.558784462,57.082031167,56.722679281,47.015062099,5.184848921,5.064153910,7.922470093,9.656166998,9.684674740,9.424343109,0.114059087,0.108613372,0.219709277
40,420,apple_imageio,30,0.558784462,56.623928363,56.258949864,46.550646202,5.185222069,5.076242924,7.381613255,9.655394490,9.684390068,9.423644066,0.113378533,0.107646942,0.219309032
45,420,jpegli,30,0.591128271,58.494570241,57.986665121,47.450679237,5.005716690,4.901135207,8.055500031,9.659868240,9.687723159,9.430848122,0.114604729,0.110463113,0.219970345
45,420,turbojpeg,30,0.591128271,58.922571415,58.592061621,49.111582682,4.957590151,4.793809891,7.865297794,9.684303093,9.712472916,9.454792023,0.109142981,0.101310492,0.216172576
45,420,apple_imageio,30,0.591128271,58.446479935,58.137969512,48.594947307,4.953916542,4.797947169,7.891711235,9.683632342,9.711760521,9.450369835,0.108462952,0.100518614,0.216008127
50,420,jpegli,30,0.623638397,60.170911980,59.706406446,49.614807867,4.692182827,4.618908167,7.029437065,9.688378715,9.712321758,9.469905853,0.109618614,0.106059253,0.215789557
50,420,turbojpeg,30,0.623638397,60.630675859,60.430548128,51.168365901,4.669765743,4.529644013,7.150417805,9.710847696,9.735010624,9.477226257,0.104404316,0.094610483,0.211482048
50,420,apple_imageio,30,0.623638397,60.216479022,60.238232699,50.694838430,4.653875319,4.540814877,6.674568176,9.709906578,9.734389306,9.472882271,0.103565129,0.093559027,0.211262882
55,420,jpegli,30,0.671867301,62.497976889,62.163589126,52.115878653,4.534216412,4.359565258,7.054769516,9.726534526,9.746313571,9.496866226,0.102774382,0.096043855,0.210565209
55,420,turbojpeg,30,0.671867301,62.777782444,62.681046551,53.632049789,4.492504040,4.402877092,7.232353687,9.745886962,9.763415337,9.501879692,0.097923269,0.088729083,0.206916094
55,420,apple_imageio,30,0.671867301,62.409878114,62.326678062,53.227192640,4.469377184,4.394162655,6.812455177,9.745349789,9.762845040,9.497982025,0.097209702,0.087246955,0.206106842
60,420,jpegli,30,0.719072336,64.364943991,64.041369166,54.614436106,4.341219894,4.144130230,6.779354095,9.756053797,9.769506931,9.521587372,0.097127972,0.089270890,0.203703344
60,420,turbojpeg,30,0.719072336,64.561144925,64.350865654,55.953685817,4.297206298,4.136428117,6.904950619,9.773118782,9.782262802,9.525012016,0.092065235,0.084070623,0.199094892
60,420,apple_imageio,30,0.719072336,64.196523103,64.059550342,55.613499263,4.292305159,4.110309839,6.467048645,9.772462114,9.780999661,9.521851540,0.091321111,0.082650482,0.198562324
65,420,jpegli,30,0.783860876,66.805670934,66.477311969,57.541916647,4.014992825,3.885163308,6.991113663,9.789028295,9.791597366,9.550491333,0.090032047,0.083854258,0.197402954
65,420,turbojpeg,30,0.783860876,67.253883058,67.339155609,58.915445151,4.035524416,3.757246137,7.111773014,9.804625098,9.805930138,9.552655220,0.085071729,0.078779310,0.191666484
65,420,apple_imageio,30,0.783860876,66.968735938,67.099125130,58.574925294,4.041623449,3.786312103,6.694588184,9.804063797,9.804799557,9.550388336,0.084322504,0.077359259,0.191444874
70,420,jpegli,30,0.863070410,69.368682734,69.222607377,60.963142470,3.787168368,3.609486342,6.626141071,9.821583748,9.820958137,9.582112312,0.082412841,0.075360894,0.189395189
70,420,turbojpeg,30,0.863070410,69.459443318,69.685412041,62.046524591,3.779139368,3.543991685,6.718088150,9.834303633,9.835536957,9.583343506,0.077497445,0.070948542,0.182969332
70,420,apple_imageio,30,0.863070410,69.197813586,69.379468630,61.741273604,3.771864128,3.533985495,6.497986794,9.833938058,9.835601330,9.581607819,0.076791791,0.069708705,0.182402372
75,420,jpegli,30,0.964176723,71.983585321,72.353828995,64.173712826,3.507907788,3.218277454,6.786227703,9.851854038,9.854456902,9.618031502,0.074735600,0.067406684,0.177251399
75,420,turbojpeg,30,0.964176723,71.773520758,71.729966912,64.917675406,3.477854061,3.190770030,6.812880516,9.860183620,9.870078087,9.618510246,0.069734879,0.063748002,0.168437958
75,420,apple_imageio,30,0.964176723,71.515948308,71.510319430,64.606823097,3.477899369,3.183626413,6.599605560,9.859498405,9.870253086,9.617642403,0.069001200,0.062023700,0.167871654
80,420,jpegli,30,1.095900979,74.683663501,75.293709500,67.597085027,3.238636112,3.013225556,6.066527367,9.879985142,9.888990402,9.654397011,0.065726266,0.057297975,0.162871838
80,420,turbojpeg,30,1.095900979,74.355166567,74.314051558,68.154557295,3.205515917,2.817291855,6.154369354,9.885032559,9.894248486,9.654487610,0.060853636,0.053225935,0.150279760
80,420,apple_imageio,30,1.095900979,74.140161045,74.156323175,67.958173376,3.201487645,2.824608446,5.938338757,9.884791883,9.893721580,9.654419899,0.060085742,0.051550448,0.149399102
85,420,jpegli,30,1.297359107,77.893578131,78.578364873,71.515172058,3.001222809,2.599397421,6.422038078,9.907761606,9.913076878,9.696908951,0.055024364,0.047642678,0.137220562
85,420,turbojpeg,30,1.297359107,77.276901042,77.367656887,71.737071150,2.982104723,2.499485850,6.495505333,9.908918858,9.916491032,9.696641922,0.050065253,0.042691589,0.120164812
85,420,apple_imageio,30,1.297359107,77.089572370,77.246950347,71.593788972,2.978597263,2.515644432,6.278735638,9.908544223,9.916755199,9.697828293,0.049331824,0.041522801,0.118620455
90,420,jpegli,30,1.678438413,81.995638456,82.630527966,76.371137348,2.670468990,2.243634343,6.154583931,9.936593247,9.948070049,9.757423401,0.039778233,0.033057690,0.093616843
90,420,turbojpeg,30,1.678438413,81.295000483,81.457669575,76.346151814,2.650069479,2.132576108,6.140023232,9.934544691,9.940406799,9.757011414,0.034878131,0.027537108,0.076311231
90,420,apple_imageio,30,1.678438413,81.182096309,81.311061904,76.309133931,2.640314257,2.148945213,5.876757145,9.934726620,9.940268039,9.759907722,0.034153899,0.026872486,0.074442148
95,420,jpegli,30,2.529014518,86.672722208,86.829378504,81.675998381,2.317811374,1.838245452,6.260138512,9.960197067,9.964982510,9.831932068,0.021086224,0.016959786,0.049308062
95,420,turbojpeg,30,2.529014518,86.026901844,86.179681866,80.930827404,2.342484089,1.828203380,6.280984879,9.958112017,9.959414482,9.831646919,0.017732416,0.015112579,0.038759887
95,420,apple_imageio,30,2.529014518,85.990959133,86.178195167,80.952670405,2.318783563,1.839586794,5.755621910,9.958808327,9.960989475,9.836338043,0.017103610,0.014619589,0.037701488
100,420,jpegli,30,5.117537849,90.025872307,90.538749767,82.966789859,2.116560384,1.743559182,6.231925011,9.975099087,9.979294300,9.901251793,0.005874211,0.005001813,0.015361190
100,420,turbojpeg,30,5.117537849,89.441326286,90.063441401,81.480830665,2.154827611,1.747470379,6.258093357,9.973915482,9.977915764,9.901226997,0.005934224,0.004909009,0.014854133
100,420,apple_imageio,30,5.117537849,89.387164489,90.028612118,81.546702229,2.156504317,1.802673400,5.915453911,9.974713389,9.978187561,9.907511711,0.005441374,0.004613013,0.012902975
